Season,Episode,Topic,Label,Confidence,Topic Words
1,1.0,0,Coffee,0.48276516795158386,"['coffee', 'rachel', 'chandler', 'monica', 'joey', 'la', 'monicas', 'ross', 'always', 'oh']"
1,1.0,0,Food,0.2152937948703766,"['coffee', 'rachel', 'chandler', 'monica', 'joey', 'la', 'monicas', 'ross', 'always', 'oh']"
1,1.0,0,Child,0.11296627670526505,"['coffee', 'rachel', 'chandler', 'monica', 'joey', 'la', 'monicas', 'ross', 'always', 'oh']"
1,1.0,0,Roommates,0.06680701673030853,"['coffee', 'rachel', 'chandler', 'monica', 'joey', 'la', 'monicas', 'ross', 'always', 'oh']"
1,1.0,1,Museum,0.0695028230547905,"['okay', 'yeah', 'oh', 'sure', 'know', 'yes', 'maybe', 'sorry', 'god', 'well']"
1,1.0,1,Child,0.0671095922589302,"['okay', 'yeah', 'oh', 'sure', 'know', 'yes', 'maybe', 'sorry', 'god', 'well']"
1,1.0,1,Sofa,0.057083290070295334,"['okay', 'yeah', 'oh', 'sure', 'know', 'yes', 'maybe', 'sorry', 'god', 'well']"
1,1.0,1,Breakup,0.054696593433618546,"['okay', 'yeah', 'oh', 'sure', 'know', 'yes', 'maybe', 'sorry', 'god', 'well']"
1,1.0,2,Job,0.6578978300094604,"['go', 'think', 'job', 'dont', 'work', 'okay', 'right', 'get', 'ta', 'got']"
1,1.0,2,Gossip,0.02699153497815132,"['go', 'think', 'job', 'dont', 'work', 'okay', 'right', 'get', 'ta', 'got']"
1,1.0,2,Child,0.025517921894788742,"['go', 'think', 'job', 'dont', 'work', 'okay', 'right', 'get', 'ta', 'got']"
1,1.0,2,Fight,0.022726410999894142,"['go', 'think', 'job', 'dont', 'work', 'okay', 'right', 'get', 'ta', 'got']"
1,1.0,3,Gossip,0.12436062842607498,"['cut', 'cant', 'thing', 'believe', 'watch', 'know', 'im', 'leg', 'brackety', 'hearing']"
1,1.0,3,TV,0.10848186910152435,"['cut', 'cant', 'thing', 'believe', 'watch', 'know', 'im', 'leg', 'brackety', 'hearing']"
1,1.0,3,Breakup,0.10056664049625397,"['cut', 'cant', 'thing', 'believe', 'watch', 'know', 'im', 'leg', 'brackety', 'hearing']"
1,1.0,3,Fight,0.07275741547346115,"['cut', 'cant', 'thing', 'believe', 'watch', 'know', 'im', 'leg', 'brackety', 'hearing']"
1,1.0,4,Child,0.20582500100135803,"['na', 'wan', 'date', 'shoe', 'woman', 'phone', 'fifth', 'im', 'want', 'daddy']"
1,1.0,4,Sex,0.18322110176086426,"['na', 'wan', 'date', 'shoe', 'woman', 'phone', 'fifth', 'im', 'want', 'daddy']"
1,1.0,4,Romance,0.1582621932029724,"['na', 'wan', 'date', 'shoe', 'woman', 'phone', 'fifth', 'im', 'want', 'daddy']"
1,1.0,4,Clothes,0.10271914303302765,"['na', 'wan', 'date', 'shoe', 'woman', 'phone', 'fifth', 'im', 'want', 'daddy']"
1,1.0,5,TV,0.4384228587150574,"['paul', 'wine', 'guy', 'everybody', 'hi', 'hey', 'know', 'two', 'normal', 'show']"
1,1.0,5,Alcohol,0.13725565373897552,"['paul', 'wine', 'guy', 'everybody', 'hi', 'hey', 'know', 'two', 'normal', 'show']"
1,1.0,5,Friendship,0.0666690543293953,"['paul', 'wine', 'guy', 'everybody', 'hi', 'hey', 'know', 'two', 'normal', 'show']"
1,1.0,5,Roommates,0.038875728845596313,"['paul', 'wine', 'guy', 'everybody', 'hi', 'hey', 'know', 'two', 'normal', 'show']"
1,2.0,0,Breakup,0.07553939521312714,"['yeah', 'sorry', 'well', 'okay', 'uh', 'im', 'look', 'yes', 'oh', 'dont']"
1,2.0,0,Child,0.07513666152954102,"['yeah', 'sorry', 'well', 'okay', 'uh', 'im', 'look', 'yes', 'oh', 'dont']"
1,2.0,0,Sofa,0.05891998112201691,"['yeah', 'sorry', 'well', 'okay', 'uh', 'im', 'look', 'yes', 'oh', 'dont']"
1,2.0,0,Fight,0.05095834285020828,"['yeah', 'sorry', 'well', 'okay', 'uh', 'im', 'look', 'yes', 'oh', 'dont']"
